year,time,time2,time3,predicted_violations,actual_mean
2011,-6,36,-216,8.283633602624995,6.659090909090909
2012,-5,25,-125,4.300369848930206,8.463414634146341
2013,-4,16,-64,3.9033658014916313,7.0
2014,-3,9,-27,5.994096921591573,6.833333333333333
2015,-2,4,-8,9.474038670512327,5.959183673469388
2016,-1,1,-1,13.2446665095362,14.191489361702128
2017,0,0,0,16.207455899945494,20.574468085106382
2018,1,1,1,17.263882303022505,16.67391304347826
2019,2,4,8,15.315421180049542,15.541666666666666
